id,new/old,type,sweet,body,fruits,nuts,flowers,snacks,trees,plants,spices,smokes,forests,animals,rocks,pure,abundunt,grace,fresh,atractive,power
58959,0,1,4,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
60148,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
59900,0,1,4,1,1,0,2,0,0,0,0,0,1,0,0,2,0,2,0,1,0
60115,0,1,4,1,3,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0
60359,0,1,4,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1
60129,0,1,4,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
58185,0,1,4,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
56280,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
60153,0,1,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
54407,0,1,4,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
60122,0,1,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
58144,0,1,4,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1
60149,0,1,4,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
53738,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56074,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54365,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55101,1,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59819,1,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56014,1,1,4,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54630,1,1,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59447,1,1,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59815,1,1,4,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
60585,1,1,4,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
53967,1,1,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58974,1,1,4,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
54725,1,1,4,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
59541,1,1,4,1,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
59824,1,1,4,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
53908,1,1,4,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
56065,1,1,4,1,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
53910,1,1,4,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
58990,1,1,4,1,3,0,0,0,2,2,2,3,0,0,0,0,1,0,0,0,0
53745,1,1,4,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
58978,1,1,4,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
59818,1,1,4,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
59825,1,1,4,1,4,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
59304,1,1,4,1,6,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
58991,1,1,4,1,4,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
53746,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53747,1,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59821,1,1,4,1,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
54767,1,1,4,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
59720,1,1,4,1,3,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0
